Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1									0.000108																																							-0.000000			-0.000105							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 2									1.608912																																							-0.000000			-1.608910							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 3									2.067017																																							-0.000000			-2.067015							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 4									2.079202																																							-0.000000			-2.079199							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 5									2.079073																																							-0.000000			-2.079070							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 6									2.077901																																							-0.000000			-2.077898							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 7									2.078084																																							-0.000000			-2.078081							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 8									2.077110																																							-0.000000			-2.077108							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 9									2.068479																																							-0.000000			-2.068476							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 10									2.074926																																							-0.000000			-2.074923							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 11									2.074517																																							-0.000000			-2.074515							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 12									2.074504																																							-0.000000			-2.074501							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 13									2.074361																																							-0.000000			-2.074358							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 14									2.074214																																							-0.000000			-2.074211							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 15									2.074371																																							-0.000000			-2.074368							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 16									2.073845																																							-0.000000			-2.073842							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 17									2.074000																																							-0.000000			-2.073997							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 18									2.422457																																							-0.000000			-2.422455							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 19									2.422505																																							-0.000000			-2.422503							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 20									2.422520																																							-0.000000			-2.422517							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 21									2.422527																																							-0.000000			-2.422524							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 22									2.422531																																							-0.000000			-2.422528							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 23									2.422534																																							-0.000000			-2.422531							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 1 	 24									2.422536																																							-0.000000			-2.422533							-0.000000					-0.000000											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 2 	 1									0.000745																																							-0.000001			-0.000740							-0.000001					-0.000001											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
 2 	 2									1.682516																																							-0.000001			-1.682511							-0.000001					-0.000001											-0.000000																																	-0.000001				-0.000000								-0.000000	-0.000000				-0.000000	-0.000000																																																																0.000000	
